gdesc,n,term,estimate,std.error,statistic,p.value
Communications,2862,z_unemp,-0.0012654599340839396,1.7665307645272463e-4,-7.1635318189468276,1.3449077487887847e-12
Communications,2862,z_infl,-9.306861478021075e-4,1.5712652474242443e-4,-5.92316382818095,4.084997852750865e-9
Communications,2862,z_yield,0.0010338012856664551,2.3910898745864103e-4,4.323556787447284,1.6583790296638353e-5
Communications,2862,z_spread,9.431511184048439e-4,2.663402155719859e-4,3.5411517422532497,4.1315312478122103e-4
Communications,2862,z_gdp,0.0012052309497510663,3.007998198019556e-4,4.006754227926671,6.522291295948894e-5
Communications,2862,z_gpr,-6.029057064032239e-4,2.3347316976472202e-4,-2.5823340087033997,0.009927263424685183
Cons Disc,2997,z_unemp,-9.498539938870683e-4,2.2244971550403379e-4,-4.269971718034605,2.1041475598645923e-5
Cons Disc,2997,z_infl,-4.26835197214834e-4,1.9786097943470454e-4,-2.157247974988886,0.031177981503908016
Cons Disc,2997,z_yield,-0.0011281965939002778,3.010970841986256e-4,-3.746952903589186,1.8722431217160323e-4
Cons Disc,2997,z_spread,0.004463352977977389,3.353879047621731e-4,13.308032026803103,7.190246304496396e-38
Cons Disc,2997,z_gdp,-7.965526103126493e-5,3.7878103049349756e-4,-0.21029369112673227,0.8334730075030302
Cons Disc,2997,z_gpr,0.0011420682047972458,2.940002021752866e-4,3.8845830592875936,1.0791841352727969e-4
Cons Stap,2864,z_unemp,3.231807906710901e-4,1.5813324121732798e-4,2.04372457165367,0.041191706937057794
Cons Stap,2864,z_infl,2.3766565711272772e-4,1.406538008715841e-4,1.68972082972514,0.09133274360452318
Cons Stap,2864,z_yield,-3.091604862846555e-4,2.1404144184914448e-4,-1.4443954573177962,0.14888038984575602
Cons Stap,2864,z_spread,0.0018304819083335344,2.384178209666859e-4,7.677622003723067,3.2706345802560354e-14
Cons Stap,2864,z_gdp,3.2945762432991975e-4,2.6926477261549997e-4,1.2235452158473508,0.2213562876783272
Cons Stap,2864,z_gpr,3.5782642544985915e-4,2.0899646818242274e-4,1.712117092512444,0.08712512143268165
Energy,2701,z_unemp,-0.0014263180880815381,3.213455351752785e-4,-4.438580692597924,9.860467191585622e-6
Energy,2701,z_infl,-6.358114683125771e-4,2.8582523552652935e-4,-2.224476320788558,0.02629587580821161
Energy,2701,z_yield,-5.465951442512103e-4,4.349576417406958e-4,-1.256662929437778,0.2091123904990741
Energy,2701,z_spread,2.3662365902537297e-4,4.844933404518627e-4,0.4883940382022298,0.6253571184684587
Energy,2701,z_gdp,0.004368647619910556,5.471780113648617e-4,7.983960483012748,3.2080912731802243e-15
Energy,2701,z_gpr,-0.0014325187671519986,4.247056558179521e-4,-3.37296842537468,7.665690819469618e-4
Financials,2972,z_unemp,-3.8880582934868623e-4,2.4552629905798354e-4,-1.583560827660526,0.11354868677272405
Financials,2972,z_infl,-9.188402154959263e-4,2.1838676618900806e-4,-4.207398788535996,2.7692878676995722e-5
Financials,2972,z_yield,-0.0025762120188386733,3.3233242206191104e-4,-7.75191298776965,1.8761216189713256e-14
Financials,2972,z_spread,0.005793804368819904,3.701805184083257e-4,15.65129465411002,1.5938407333149746e-50
Financials,2972,z_gdp,-9.862175967345148e-4,4.1807517874191765e-4,-2.358947976060826,0.018481221961750796
Financials,2972,z_gpr,-5.541860426205443e-5,3.2449932066147357e-4,-0.1707818806803254,0.8644231385779043
Health Care,2724,z_unemp,-9.140188360354005e-4,4.718821755802072e-4,-1.9369641053120092,0.052978488877119236
Health Care,2724,z_infl,5.903312067809781e-4,4.205750428391359e-4,1.4036287146186455,0.16068184990383677
Health Care,2724,z_yield,0.002338195661083718,6.398078820156159e-4,3.6545277524834394,2.685114380424227e-4
Health Care,2724,z_spread,-0.0012360178846710151,7.143201421842502e-4,-1.7303416377025518,0.08382007681665885
Health Care,2724,z_gdp,-0.00130036000663013,8.03871998391883e-4,-1.617620727219574,0.10600075666870627
Health Care,2724,z_gpr,4.0241151884831016e-4,6.23519237428124e-4,0.6453874951928776,0.5187964724791736
Industrials,2960,z_unemp,-3.3332412203126164e-4,1.996113823208688e-4,-1.6698653060548119,0.09519840622010793
Industrials,2960,z_infl,-9.954230006906672e-4,1.775471077714468e-4,-5.606528955526875,2.542173254986062e-8
Industrials,2960,z_yield,-4.95689830623908e-4,2.701842304157985e-4,-1.8346364251572673,0.06679904066925443
Industrials,2960,z_spread,0.0034862295444272324,3.0095450170204095e-4,11.583908945408508,1.5494344034973205e-29
Industrials,2960,z_gdp,-0.0014174050168550927,3.3989256818069136e-4,-4.170155953811799,3.2556041589589626e-5
Industrials,2960,z_gpr,2.5970531777239867e-4,2.638159667943458e-4,0.9844184979707785,0.32510182220590056
Info Tech,2805,z_unemp,-4.932000729739121e-4,3.969774386255016e-4,-1.2423881686616063,0.214328280081979
Info Tech,2805,z_infl,-0.0010394961705594522,3.530970792295652e-4,-2.943938740098233,0.0033010057684125715
Info Tech,2805,z_yield,8.075785877037605e-4,5.373292970590916e-4,1.5029491079749349,0.1331067891241203
Info Tech,2805,z_spread,0.0031563993474003254,5.985237206385495e-4,5.273641191752341,1.5766999713042332e-7
Info Tech,2805,z_gdp,-0.002697375362182495,6.759618592657179e-4,-3.9904253845218323,6.981894523500712e-5
Info Tech,2805,z_gpr,3.5155067400318015e-4,5.246644031460157e-4,0.6700486480409126,0.5029515363567539
Materials,2730,z_unemp,-1.7785085986103368e-4,1.2119464571270988e-4,-1.4674811648249422,0.1424987932931098
Materials,2730,z_infl,-6.787209117211891e-4,1.0779825565802513e-4,-6.296214234433775,4.224750018577112e-10
Materials,2730,z_yield,-7.686455806949387e-4,1.6404316077410624e-4,-4.685630154087273,3.098997859095746e-6
Materials,2730,z_spread,0.002472007076875128,1.8272542269555104e-4,13.528533908463716,5.3524002891143365e-39
Materials,2730,z_gdp,-1.363026888314395e-4,2.0636678581196995e-4,-0.6604875309519576,0.5090636932586323
Materials,2730,z_gpr,0.001562587002286398,1.6017665053589522e-4,9.755398162332192,1.0314333196839186e-21
Real Estate,2676,z_unemp,-9.354029976601011e-4,1.772802238002284e-4,-5.276409165154134,1.5535962646337184e-7
Real Estate,2676,z_infl,-4.897114548689243e-4,1.5768434963397713e-4,-3.105644003388168,0.001941712577221379
Real Estate,2676,z_yield,-8.025980894300315e-4,2.399578635170726e-4,-3.344745938584038,8.482021956462465e-4
Real Estate,2676,z_spread,0.00224553975780521,2.6728576694920323e-4,8.401269485598787,1.1950001806852736e-16
Real Estate,2676,z_gdp,0.001969263710696202,3.018677084167847e-4,6.523598436627962,9.974173256023492e-11
Real Estate,2676,z_gpr,-0.0012807173436637275,2.3430203774750196e-4,-5.466095625868632,5.557042260707734e-8
Utilities,2426,z_unemp,-4.3892205237830505e-4,1.4576653253982482e-4,-3.011130502527302,0.00265543929549852
Utilities,2426,z_infl,1.1958628603568848e-4,1.2965406061221722e-4,0.9223489451160308,0.3565260153038391
Utilities,2426,z_yield,1.4782727759808043e-4,1.973024682096726e-4,0.7492419073084526,0.4538535218688954
Utilities,2426,z_spread,0.0018422391057259914,2.1977250823722655e-4,8.382482051565086,1.390125837513185e-16
Utilities,2426,z_gdp,3.4621992944226833e-5,2.482070938225029e-4,0.1394883297291479,0.8890869287479264
Utilities,2426,z_gpr,0.0010555267453256293,1.9265203347190558e-4,5.478928648212564,5.177585610735432e-8
